time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/05/16:34:37.263735,0,77677,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.46875,0.0,19,T
2023/02/05/16:34:38.264148,0,77678,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.46875,0.0,19,T
2023/02/05/16:34:39.262835,0,77679,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.46875,0.0,19,T
2023/02/05/16:34:40.264132,0,77680,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.46875,0.0,19,T
2023/02/05/16:34:41.263971,0,77681,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.46875,0.0,19,T
2023/02/05/16:34:42.263277,0,77682,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.46875,0.0,19,T
2023/02/05/16:34:43.264516,0,77683,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.59375,0.0,19,T
2023/02/05/16:34:44.263584,0,77684,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.59375,0.0,19,T
2023/02/05/16:34:45.280660,0,77685,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.59375,0.0,19,T
2023/02/05/16:34:46.262972,0,77686,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.59375,0.0,19,T
2023/02/05/16:34:47.263217,0,77687,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
